sounds,soundProbabilities
!,0.0001422714507788482
1,0.0011853175492297658
2,0.004356600056890056
3,0.010033657016321296
4,0.005541547107550085
5,0.007435628420685935
6,0.00450192812086923
7,0.010597185340890639
8,0.0014412394362753112
C,0.008931701645282262
E,0.011862160082613772
G,0.0017840432379240853
H,0.0036574692557971218
I,0.023071594309994115
L,0.00134157532101617
N,0.016478016513677002
S,0.007891619535389235
T,0.002242442593330674
Z,0.0018938960638509826
a,0.14040636097879425
b,0.023395502684586324
c,0.00023934207604983318
d,0.02273675622759468
e,0.046838243936814065
f,0.006237713920085126
g,0.018423782377291104
h,0.01389295536798242
i,0.086066725125166
j,0.0015177473909259158
k,0.04917238492615454
l,0.034295663230879056
m,0.04259223770299038
n,0.05328176981238786
o,0.07407831765491449
p,0.023637716124551615
q,0.0033694066178269278
r,0.036251895679088215
s,0.026119593418574557
t,0.048948325916106344
u,0.06765016746998476
v,0.006980378303122108
w,0.01707850207057757
x,0.006922673150885635
y,0.020622598764035296
z,0.00485334601426438
